,Unnamed: 0,rec_no,prime_id,replc,samptyp,rec_cnt,latitude,longitude,doelab,laslid,ornlid,srlid,lllid,site,state,quad,mapcode,fips,huc8,ls_map,study,phase,strbasin,b_lat_c,b_long_c,smpmedia,sampsrc,sedcond,sizefrxn,osamptyp,lsamptyp,ssamptyp,sedtreat,sampdat,samphr,sampler,grabs,weather,airtemp,wtrtemp,ph,cond,alk,o_diss,scin,orgn_pct,sampodor,smpcolr,sgeounit,rocktyp,rockclr,sedtype,sedcolr,strwdth,strwdthc,strdpth,strdpthc,wtrlevel,strflow,strflowc,wtrcolr,strchanl,vegtype,vegdens,relief,contamc,specms,tapedata,analdate,batch_es,asbatch,clbatch,po4batch,snbatch,hgbatch,ubatch_dn,ubatch_fl,ubatch_ms,ubatch_xx,u_xx_mthd,u_xx_ppm,u_dn_ppm,u_fl_ppm,u_ms_ppm,u_na_ppm,ag_ppm,al_pct,as_ppm,au_ppm,b_ppm,ba_ppm,be_ppm,bi_ppm,br_ppm,ca_pct,cd_ppm,ce_ppm,cl_ppm,co_ppm,cr_ppm,cs_ppm,cu_ppm,dy_ppm,eu_ppm,f_ppm,fe_pct,hf_ppm,hg_ppm,k_pct,la_ppm,li_ppm,lu_ppm,mg_pct,mn_ppm,mo_ppm,na_pct,nb_ppm,ni_ppm,p_ppm,pb_ppm,pt_ppm,rb_ppm,sb_ppm,sc_ppm,se_ppm,sm_ppm,sn_ppm,sr_ppm,ta_ppm,tb_ppm,th_ppm,ti_ppm,v_ppm,w_ppm,y_ppm,yb_ppm,zn_ppm,zr_ppm,po4_ppm,so4_ppm,methods,tapefile,reformat,coordprb,comments,comment2
0,438,5267232,ALTD053S1,0,50,1,33.1749,-86.1873,SRL-E,,,ALTD053S1,,,AL,BIRMINGHAM,NI1608,1121,3150107,34088SEG3,,,,,,SEDIMENT,STREAM,WET,-100 MESH,,,,,7/18/1976,,6,8,SUNNY/CLEAR,,24,6.7,26,0.2,,,,,,,,,SAND,WHITE/BUFF,,8 - 16 FT,,0.5 - 1 FT,NORMAL,,MODERATE,CLEAR,DEPOSITING,DECIDUOUS,MODERATE,LOW (0 - 15 M),,,,2/27/1979,,,,,,,,,,,,,8.5,,,,-0.1,1.98,,-0.01,,118,1,,,,,-20,,5,-5,,2,3.9,-1,,1.2,88,,1.7,14,5,1.2,0.2,290,5,0.39,15,3,600,12,,,,4.4,,3,35,,,,11,8700,20,-2,30,6.8,20,,,,"SR1, SR2, SR3-AA;CA;FE",XG0567.01,SUPPL. DATA ADDED FROM XG0567.04 RECORD: GOLD VALUE ADDED BASED ON GJBX-135(82):,,,
1,485,5267279,ALTD353S1,0,50,1,33.1749,-86.1873,SRL-E,,,ALTD353S1,,,AL,BIRMINGHAM,NI1608,1121,3150107,34088SEG3,,,,,,SEDIMENT,STREAM,WET,-100 MESH,,,,,9/6/1976,,72,5,SUNNY/CLEAR,,22,7.5,30,0.16,,,,,,,,,SAND,BROWN,,8 - 16 FT,,0.5 - 1 FT,NORMAL,,MODERATE,CLEAR,DEPOSITING,DECIDUOUS,MODERATE,GENTLE (15 - 60 M),,,,2/24/1979,,,,,,,,,,,,,19.8,,,,,1.98,,-0.01,,38,1.5,,,,,67,,,5,,,17.8,1.8,,1.93,237,,0.7,31,-5,3.9,0.06,530,-2,0.37,5,,600,,,,,4.9,,6,-5,,,,21,12700,40,-2,45,23.9,,,,,"SR1, SR2, SR3-AA;CA;FE",XG0567.01,SAMPLE BELIEVED TO BE COLLECTED FROM SRLID(ALTD053S1) SITE FOR QA/QC PURPOSES: SUPPL. DATA ADDED FROM XG0567.04 RECORD: GOLD VALUE ADDED BASED ON GJBX-135(82):,"ORIGINAL COORDINATES - LAT(0),LONG(0) - CHANGED TO VALUES FOUND IN SRLID(ALTD053S1):",,
2,486,5267280,ALTD415S1,0,50,1,33.4903,-85.9287,SRL-E,,,ALTD415S1,,,AL,ATLANTA,NI1609,1121,3150106,34086SWA1,,,,,,SEDIMENT,STREAM,WET,-100 MESH,,,,,9/6/1976,,72,7,SUNNY/CLEAR,,22,7.7,32,0.16,,,,,,,,,COBBLES,BROWN,,8 - 16 FT,,0.5 - 1 FT,LOW,,MODERATE,CLEAR,DEPOSITING,DECIDUOUS,DENSE,GENTLE (15 - 60 M),,,,2/24/1979,,,,,,,,,,,,,14.2,,,,-0.1,2.87,,-0.01,,98,2.5,,,,,330,,-5,-5,,5,12.1,3.1,,3.48,198,,1.1,177,-5,2,0.035,520,2,0.51,15,-5,600,-10,,,,5.6,,24,-5,,,,29,7000,50,-2,15,12.4,23,,,,"SR1, SR2, SR3-AA;CA;FE",XG0567.01,SAMPLE BELIEVED TO BE COLLECTED FROM SRLID(ALTD115S1) SITE FOR QA/QC PURPOSES: SUPPL. DATA ADDED FROM XG0567.04 RECORD: GOLD VALUE ADDED BASED ON GJBX-135(82):,"ORIGINAL COORDINATES - LAT(0),LONG(0) - CHANGED TO VALUES FOUND IN SRLID(ALTD115S1):",,
3,496,5276515,ALTD115S1,0,50,1,33.4903,-85.9287,SRL-E,,,ALTD115S1,,,AL,ATLANTA,NI1609,1121,3150106,34086SWA1,,,,,,SEDIMENT,STREAM,WET,-100 MESH,,,,,7/17/1976,,12,5,OVERCAST,,24,6.9,30,0.12,,,,,,,,,COBBLES,BROWN,,4 - 8 FT,,0.5 - 1 FT,NORMAL,,SLOW,CLEAR,DEPOSITING,DECIDUOUS,MODERATE,GENTLE (15 - 60 M),,,,2/28/1979,,,,,,,,,,,,,7.8,,,,0.1,3.05,,-0.01,,48,1,,,,,124,,-5,-5,,5,6.5,,,1.89,75,,1,57,-5,0.9,0.045,110,-2,0.67,10,-5,600,-10,,,,4.4,,8,15,,,,13,5800,30,-2,15,4,18,,,,"SR1, SR2, SR3-AA;CA;FE",XG0223.22,SUPPL. DATA ADDED FROM XG0567.04 REC: SAME SRL NAA DATA IN XG0567.01 RECORD: GOLD VAL BASED ON GJBX-135(82):,,,
4,853,5277723,ALLE093S1,0,50,1,32.5819,-85.0821,SRL-E,,,ALLE093S1,,,AL,PHENIX CITY,NI1612,1081,3130002,33086NWH4,,,,,,SEDIMENT,STREAM,WET,-100 MESH,,,,,8/15/1976,,20,5,SUNNY/CLEAR,,24,7.4,81,0.38,,,,,,,,,SAND,BROWN,,2 - 4 FT,,1 - 2 FT,NORMAL,,MODERATE,CLEAR,DEPOSITING,DECIDUOUS,MODERATE,LOW (0 - 15 M),UNKNOWN,,,3/22/1979,,,,,,,,,,,SR3-XU,1.9,2,,,,0.5,3.33,1,-0.01,,5,1,,,,,22,,,,,4,,-1.7,,0.85,10,,,12,5,0.3,,,-2,,-5,-5,200,-10,,,,6,,,5,,,,3,,,2,,,7,,,,"SR1, SR2, SR3-AA;CA;FE;XU;XX",XG0567.01,SUPPL. DATA ADDED FROM XG0567.04 RECORD: CONTAMC(UNKNOWN) IS PROBABLY RESIDENTIAL OR RECREATIONAL: GOLD VALUE ADDED BASED ON GJBX-135(82):,,,
5,863,5277733,ALLE393S1,0,50,1,32.5819,-85.0821,SRL-E,,,ALLE393S1,,,AL,PHENIX CITY,NI1612,1081,3130002,33086NWH4,,,,,,SEDIMENT,STREAM,WET,-100 MESH,,,,,10/5/1976,,73,7,SUNNY/CLEAR,,19,7.6,60,0.42,,,,,,,,,SAND,BROWN,,2 - 4 FT,,0.5 - 1 FT,NORMAL,,MODERATE,CLEAR,ERODING,DECIDUOUS,MODERATE,LOW (0 - 15 M),UNKNOWN,,,3/22/1979,,,,,,,,,,,SR3-XU,1.7,5.4,,,,0.3,2.78,1,-0.01,,10,1,,,,,91,,,,,2,,-1.6,,3.17,15,,,45,-5,1,,1240,-2,0.59,25,-5,200,10,,,,6.7,,6,-5,,,,27,5300,80,-2,,7.4,7,,,,"SR1, SR2, SR3-AA;CA;FE;XU;XX",XG0567.01,SAMPLE BELIEVED TO BE COLLECTED FROM SRLID(ALLE093S1) SITE FOR QA/QC PURPOSES: SUPPL. DATA ADDED FROM XG0567.04 RECORD: CONTAMC(UNKNOWN) IS PROBABLY RESIDENTIAL OR RECREATIONAL: GOLD VALUE ADDED BASED ON GJBX-135(82):,"ORIGINAL COORDINATES - LAT(0),LONG(0) - CHANGED TO VALUES FOUND IN SRLID(ALLE093S1):",,
6,1722,5267535,ALAU009S1,0,50,1,32.5906,-86.4869,SRL-E,,,ALAU009S1,,,AL,MONTGOMERY,NI1611,1001,3150201,33088NEE4,,,,,,SEDIMENT,STREAM,WET,-100 MESH,,,,,8/5/1976,,19,5,SUNNY/CLEAR,,25,6,20,0.1,,,,,,,,,SAND,ORANGE,,4 - 8 FT,,0.5 - 1 FT,NORMAL,,MODERATE,CLEAR,DEPOSITING,BRUSH,DENSE,LOW (0 - 15 M),,,,3/19/1979,,,,,,,,,,,,,3.1,,,,,1.4,,-0.01,,,,,,,,103,,,,,,7.5,1.3,,1.06,17,,,23,,0.3,,180,,0.03,,,,,,,,3.4,,9,,,,,14,6700,30,,,,,,,,"SR1, SR2",XG0567.01,GOLD VALUE ADDED BASED ON GJBX-135(82):,REDIGITIZED SAMPLE LOCATION: CHANGED LAT & LONG VALUES TO NEW COORDINATES: ORIGINAL VALUES - XG0567-01 LAT(32.5935);LONG(-86.4834):,,
7,1734,5267547,ALAU022S1,0,50,1,32.6289,-86.8541,SRL-E,,,ALAU022S1,,,AL,MONTGOMERY,NI1611,1001,3150201,33088NEB3,,,,,,SEDIMENT,STREAM,WET,-100 MESH,,,,,8/6/1976,,20,7,SUNNY/CLEAR,,30,6,18,0.08,,,,,,,,,SAND,PINK/RED,,4 - 8 FT,,4 - 8 FT,NORMAL,,MODERATE,CLEAR,DEPOSITING,DECIDUOUS,MODERATE,LOW (0 - 15 M),,,,3/23/1979,,,,,,,,,,,,,10.4,,,,,2.71,,0.04,,,,,,,,182,,,,,,18.5,-1.3,,3.12,93,,,83,,1.8,,570,,0.03,,,,,,,,3.8,,8,,,,,34,14700,80,,,12.2,,,,,"SR1, SR2",XG0567.01,GOLD DATA ADDED FROM XG0474.03:,REDIGITIZED SAMPLE LOCATION: CHANGED LAT & LONG VALUES TO NEW COORDINATES: ORIGINAL VALUES - XG0567-01 LAT(32.6282);LONG(-86.8573):,,
8,1781,5267594,ALAU070S1,0,50,1,32.4959,-86.6379,SRL-E,,,ALAU070S1,,,AL,MONTGOMERY,NI1611,1001,3150201,33088SEC1,,,,,,SEDIMENT,STREAM,WET,-100 MESH,,,,,8/10/1976,,37,5,SUNNY/CLEAR,,25,5.9,20,0.1,,,,,,,,,SAND,ORANGE,,< 0.5 FT,,< 0.5 FT,LOW,,SLOW,CLEAR,DEPOSITING,BRUSH,MODERATE,LOW (0 - 15 M),,,,3/24/1979,,,,,,,,,,,,,14,,,,,0.91,,-0.01,,,,,,,,226,,,,,,22.4,3.8,,1.72,116,,,131,,1.9,,870,,0.02,,,,,,,,2.6,,17,,,,,50,20300,40,,,11.9,,,,,"SR1, SR2",XG0567.01,GOLD VALUE ADDED BASED ON GJBX-135(82):,REDIGITIZED SAMPLE LOCATION: CHANGED LAT & LONG VALUES TO NEW COORDINATES: ORIGINAL VALUES - XG0567-01 LAT(32.4972);LONG(-86.6365):,,
9,1825,5267638,ALAU309S1,0,50,1,32.5906,-86.4869,SRL-E,,,ALAU309S1,,,AL,MONTGOMERY,NI1611,1001,3150201,33088NEE4,,,,,,SEDIMENT,STREAM,WET,-100 MESH,,,,,10/3/1976,,73,7,SUNNY/CLEAR,,23,7.3,20,0.08,,,,,,,,,SAND,OTHER,,4 - 8 FT,,1 - 2 FT,NORMAL,,FAST,CLEAR,ERODING,DECIDUOUS,MODERATE,LOW (0 - 15 M),UNKNOWN,,,3/22/1979,,,,,,,,,,,,,4.6,,,,,0.97,,-0.01,,,,,,,,119,,,,,,7,1.6,,1.97,29,,,42,,0.7,,280,,0.02,,,,,,,,4.2,,12,,,,,19,12500,30,,,,,,,,"SR1, SR2",XG0567.01,SAMPLE BELIEVED TO BE COLLECTED FROM SRLID(ALAU009S1) SITE FOR QA/QC PURPOSES: CONTAMC(UNKNOWN) IS PROBABLY RESIDENTIAL OR RECREATIONAL: GOLD VALUE ADDED BASED ON GJBX-135(82):,"ORIGINAL COORDINATES - LAT(0),LONG(0) - CHANGED TO VALUES FOUND IN SRLID(ALAU009S1):",,
